,Unnamed: 0,feature,label
0,,GET 80 1 1 www malariacampaign gov lk  media system js core js ec6128357171f3b8f3dcb8d178f2192c Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 8556,1
1,8056.0,POST 80 1 1  tienda1 publico pagar jsp precio=7097 Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 115 0,0
2,,GET 80 1 1 www slsi lk  plugins system mediabox ck mediabox ck mediaboxAdv 1 3 4b js Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 26456,1
3,49669.0,POST 80 1 1  tienda1 publico registro jsp apellidos=Aceituno Masdevall Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 274 0,0
4,40339.0,POST 80 1 1  tienda1 publico registro jsp login=yung fu Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 248 0,0
5,505.0,POST 80 1 1  tienda1 publico registro jsp dni=52 2763986G Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 242 0,0
6,77409.0,POST 80 1 1  tienda1 miembros editar jsp cp=20491 Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 270 0,1
7,,GET 80 1 1 fiusrilanka gov lk  js modernizr 2 0 6 min js Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 Not Modified 0,1
8,,GET 80 1 1 likaraoke com  track php domain=likaraoke com caf=1 toggle=answercheck answer=yes uid=MTYzMzM1ODk5Ny4zOTA1OjIwOWFhZjFmNGFiNDgxMzcxMmEzZTExZDQ0OTMzMjg3MmU3NTU1OTU2MzUwYTQ1OTYwYTljNmEzZGNkY2ViNDE6NjE1YjE0OTU1ZjU1Nw== Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 0,0
9,90382.0,POST 80 1 1  tienda1 miembros editar jsp apellidos=Cisneros Tauler Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 264 0,1
10,59629.0,POST 80 1 1  tienda1 publico registro jsp cp=22001 Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 245 0,1
11,78943.0,POST 80 1 1  tienda1 publico registro jsp nombre=Jer F3nima Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 259 0,1
12,18481.0,POST 80 1 1  tienda1 miembros editar jsp cp=32730 Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 322 0,0
13,58150.0,POST 80 1 1  tienda1 publico registro jsp modo=registro Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 232 0,1
14,48563.0,POST 80 1 1  tienda1 miembros editar jsp apellidos=Burdon Ruiz Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 243 0,0
15,,GET 80 1 1 www fccisl lk  files 2021 01 wanija flyer new4 jpg Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 128500,1
16,,GET 80 1 1 nirmin gov lk  media system js caption js a11f657f0f935cad89ef31555d7d2a41 Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 491,1
17,36517.0,POST 80 1 1  tienda1 publico pagar jsp precio=9853 Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 46 0,0
18,,GET 80 1 1 www rgd gov lk  images textsi png Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 Not Modified 0,1
19,,GET 80 1 1 esoft lk  virtual tour tiles 1 esoft metro campus birds eye view 1 b 0 0 jpg Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 768,1
20,73001.0,POST 80 1 1  tienda1 miembros editar jsp ntc=7509082311963954 Mozilla 5 0  compatible  Konqueror 3 5  Linux  KHTML 3 5 8  like Gecko  close 252 0,1
21,,GET 80 1 1 www railway gov lk  web images welcome page2 03 jpg Mozilla 5 0  X11  Ubuntu  Linux x86 64  rv 92 0  Gecko 20100101 Firefox 92 0 OK 5937,1
